item,value
charris reporta,1
luego son,1
luego son asesinados,1
posteriormente aparece,1
muñoz,1
incursiona,1
retiene,1
posteriormente aparecieron,1
pivijay relataron,1
relataron,1
abandonado,1
inicialmente maltrataron,1
maltrataron,4
restrepo,11
dawar,1
son trasladadas,1
eran señalados,2
deedilfe,1
vélez,2
dialogó,1
dejará,1
después aparece,1
oponerse,4
golpeado,1
son interrogados,1
interrogados,1
fueron lanzados,2
lanzados,2
valderrama,1
tildó,1
quinchucua,3
salieron trabajar,1
no regresaron,1
cobró,1
era infiltrado,2
infiltrado,2
serna683,1
esperándolo,1
también retenido,1
chamba,1
arroja,1
luego ser asesinados,1
golpeó,1
beatriz,1
registranversión,1
luego fueron asesinadas,1
calamar,5
montó,1
arrojó,4
etilvía,1
discutió,1
son dejados,1
lópez,1
luego fueron asesinados,1
no apareció,1
retrepo,1
deambulando,1
ser torturadas,1
ser torturadas fueron,1
torturadas fueron,1
ser torturadas fueron asesinadas,1
torturadas fueron asesinadas,1
llerena,1
saúl,4
después fueron,3
después fueron asesinados,1
armando,2
arrojada,1
ser asesinada,1
cueto,2
dedicarse,1
posteriormente asesinaron,1
charry,1
manifestar,1
indagaron,1
manifestando,2
había dejado,1
cubriendo,1
incineró,1
silva,1
tanque,1
osuna,3
incinerado,7
habían sido declaradas,1
sido declaradas,1
declaradas,1
ultimando,1
ultimaron,2
había retenido,2
interroga,2
arrojando,1
iris,3
mató,1
mató ordenó,1
mató ordenó incinerarlo,1
ordenó incinerarlo,1
incinerarlo,3
sombreron,1
sombreron salió,1
había instalado,1
instalado,1
interrogada,1
estaba flotando,1
ser requerido,1
lesionado,2
villamil,3
soto,2
yanes,1
encontrarlo torturaron,1
gallar,1
posteriormente sacaron,1
lafont,1
apodera,1
suma,1
cancelada,1
finalmente son,1
finalmente son asesinados,1
marriaga,1
alfaro,2
proceden,1
orellano,1
habían sido capturados,1
sido capturados,1
capturados,1
habían invadido,1
saberse,4
civil,1
incomodó,1
dirigio,1
iinforme,1
despareció,2
auxiliar,3
identificó,1
entrevistado,1
había asístido,1
asístido,1
enterró,2
cubria,1
asesinaron siguiendo,1
retornó,3
donado,1
zúñiga,1
abortó,1
convencerlo,1
secuestrada,1
desemboca,1
maltrtaron,1
luego desaparecieron,1
libró,1
había conseguido,1
conseguido,1
jugar,2
verlo,2
ser investigado,1
investigado,1
atribuye,1
registrarse,1
cumpliría,1
culminaron,1
emprendieron,1
debían permanecer,1
no debían permanecer,1
ya habían sido,1
habían sido advertidas,1
sido advertidas,1
advertidas,1
ya habían sido advertidas,1
habían sido advertidas haciendo,1
sido advertidas haciendo,1
advertidas haciendo,1
ya habían sido advertidas haciendo,1
lleve,2
regresarían,1
más estuvieron,1
indirecta,1
asesinando,5
alejandro,1
advertir,3
estar indagando,1
indagando,1
no volvió,1
cuñado,2
más nunca apareció,1
rizo,1
informarle,2
habían sido retenidos,1
sido retenidos,1
ordena abstener,1
abstener,1
archivarla,1
leonardo,1
tocando,1
revoca,2
pistolas,1
pistolas llegaron,1
había salido,1
extraprocesal,1
farid,5
nevado,1
ariulfo,1
reconociendo,1
manifestó no tener,1
perpetrando,1
haya incursionado,1
incursionado,3
escoltar,1
sau-uri,1
dirigia,1
sorprendieron,1
posee,1
estándo,1
vista,3
aun gupo,1
gupo,1
gupo paramilitar,1
aun gupo paramilitar,1
roque,1
haya podido,1
haya podido ubicar,1
podido ubicar,1
comentaron,1
precluyendo,1
realiza,3
n9409114-29742,1
encuesta,9
defensoría,3
fabián,1
reconocido paramilitar,1
reunieron,8
rueda,4
certificación,2
anexan,1
malo acta,1
055-2004,1
053-2004,1
téllez acredita,1
llevandose,1
numero,1
soza,1
aproximadamente llegaron,1
preguntándole,1
golpearon ultrajaron,1
ultrajaron,2
manifestó aportarla,1
aportarla,1
acordando,1
asístir,1
cumplirla,1
luqueta,1
requizaron,1
sequea,1
también había,1
había pertenecido,1
pertenecido,2
también había pertenecido,1
ser torturado,1
torturado,1
sacarle,1
siguieran,2
siguieran buscando,1
arreglando,1
marcharon,1
más dando,1
despojado,3
ester,1
forzar,1
iban hacer,2
antes haber,2
haber entregado,2
antes haber entregado,1
finalizada,1
había echado,1
echado,1
también dijo,1
buscándola,1
habían lanzado,1
fueron detenidos,2
detenidos,2
fueron observados,1
observados,1
ordenando,4
solo sabe,1
no aparecieron,1
contestaron,1
habían llegado,6
había despojado,1
fueron llevadas,1
llevadas,1
fueron enterrados,2
no fueron enterrados,1
contreras,5
alegó,1
nieto,2
dijeron pertenecer,1
acompañó,2
era controlada,1
controlada,1
inclusive,1
recién ingresaron,1
dice quedaron,1
había transitado,1
transitado,1
efectivamente encontró,1
practicarle,1
sepultara,1
defrancisco,1
entonces salió,1
rolon,1
finalizando,1
permita reasumir,1
reasumir,1
recluir,1
ordoñez,2
no presenta,1
ordenaron parar,1
decidieron dejar,1
permitieron continuar,1
recién retuvieron,1
celular,1
celular diciéndole,1
entendió,1
habían reclutado,1
guardó,1
así indagó,1
indagó,1
omaña,1
almorzar,1
allí fueron asesinados,1
no estaba,5
transitaran,1
pudieron ser asesinados,1
asesinó disparándole,1
posteriormente desaparecieron,1
era conducido,2
amordazaron,4
recuperarse,1
notó,1
no tuvo,2
requería,1
festejarle,1
comentarle,1
había encontrado,1
asesinó desconociéndose,1
nuevamente llamó,1
ahí no sabe,1
no sabe,1
había sido soldado,1
sido soldado,1
soldado,1
entendiéndose,1
página,2
criaron,1
eran comandadas,1
comandadas,1
ocultar,1
haya aparecido,1
aparecido,1
buscó,1
contó,1
reclamó,2
habían tirado,1
tirado,3
no encontraron,2
ubicarse,2
asegurando,1
expidió,2
son robert,1
primero llegaron,2
sirvieran,1
publicó,3
confesó haber,2
confesó haber participado,2
acogió,1
viajar,3
durier,1
difundió,1
subirlos,1
probatorios837,1
disfrutando,1
era subordinado,1
subordinado,1
había propuesto,1
propuesto,1
doris,1
estrada,1
encargarle,1
haber motivado,1
motivado,1
sostuvieron,1
omar,1
fueron amenazados,3
amenazados,3
desapareciera,1
igualmente aduce,1
habían trasladado,1
nunca llegó,2
jaraba,1
más departiendo,1
después fueron liberados,1
mal vender,1
manejando,1
haría,1
sido golpeados,1
golpeados,1
pacheco,1
propuso trabajar,1
espitia,1
paniza,2
han tenido,2
no han tenido,2
solicitar,2
debían seguir,1
constancia,2
izquierdo,1
obtenido,2
paez,1
cargaron,1
solo recuperaron,1
recuperaron,1
862escrito,1
avilez,3
tenerse,1
fueron obligados,1
obligados,1
era dominada,6
dominada,6
actúa,1
valbuena,1
oponerse fueron,1
oponerse fueron heridas,1
fueron heridas,1
heridas,1
873escrito,1
higuita,1
higuita entrevista,1
lustrar,1
haber conocido,1
arrieta,1
jugando futbol,1
futbol,1
pasa,1
elmis,1
rosiris,1
villar,3
villar entrevista,1
ser tildado,1
tildado,2
habían citado,1
comprarle,1
encerraron,1
han sabido,2
no han sabido,2
dedica,2
recopilar,1
asesinaron dejando,1
hony,1
supieron era,1
había ido,2
poniendo,1
logrado,3
logrado establecer,1
comieron,1
gastaron,1
estuvieron departiendo,1
contrajeron,1
llamarlo,1
levantó,2
metió,1
estaban comprando,1
embarcó,1
cortar,1
encontraban haciendo,2
cursó,2
partiendo,2
helber,1
nunca más volvieron,1
más volvieron,1
reportante rubiela,1
rubiela,1
instaurada,1
hacerle,1
habían enterrado,1
allí dejó,1
luego venderlo,1
había sido raptado,1
sido raptado,1
raptado,2
cargando,1
iban pasando,1
pasando,3
fueron desaparecidas encontrándose,1
desaparecidas encontrándose,1
haciéndolo bajar,1
hicieron detener haciendo,1
detener haciendo,1
desvalijado,1
asciende,1
tenemos,5
manifestaron haberlo,1
manifestaron haberlo visto,1
haberlo visto,1
enrique jiménez,1
albert,1
primero tocaron,1
tocaron,1
luego procedieron,2
tumbarla,2
tumbarla sacaron,1
pateando,1
tumbarla ingresaron,1
descuartizaron,1
cedeño,1
cedeño acta,1
legalizó,1
indagar,1
habían visto,1
no amaneció,1
amaneció,1
variar,1
había sido enviado,1
sido enviado,1
formar,3
habían asignado,1
propina,1
sepultaran,1
dony,1
haya recuperado,1
estaban esperando,1
dirigiéndose,4
cobraba,1
han podido,1
han podido recuperar,1
muyuy,1
haya sido,1
haya sido recuperado,1
exhumaron,1
había sido llevado,1
sido llevado,1
amarraron golpearon,1
pesa,1
asistió,1
había apoderado,1
apoderado,1
reconoció haber,1
reconoció haber participado,1
dice era,1
dice era conocido,1
haciéndole creer,1
creer,1
haberlo obligado,1
arrodillarse,1
pego,1
desaparecido desconociéndose,1
almeida,1
almeida informe,1
parecer no había,1
parecer no había dado,1
no había dado,1
estaba haciendo,1
estaba haciendo matar,1
haciendo matar,1
dedicaban,1
raspar,1
procesarla,1
ocultaron,2
salir fueron,1
salir fueron interceptados,1
eran desmovilizados,1
desmovilizados,1
supuestamente eran desmovilizados,1
hicieron servir,1
servir,1
resultó ser,1
movilizar,1
945escrito,1
guardaron,1
rindió,4
exhumando,1
habían sido convocados,1
registrándose,1
hospedándose,1
fueron hurtadas,2
hurtadas,2
sidray,1
inhibida,2
habían comprado,1
comprado,1
alude,1
igualmente refiere,1
existió,1
pudieron haber,1
pudieron haber tenido,1
haber tenido,1
refirió,6
villalobos948,1
seguidamente llegaron,2
obligarlos,1
fueron amarrados,1
amarrados,1
casarubia,1
casarrubia,3
practicarse,2
rendida,1
ultimado,3
fuera recogida,1
ser llevada,1
encontraría,1
formando,1
impusiera,1
era prohibida,1
prohibida,2
ultimada,1
solucionar,1
bajarlo,1
fueron incinerados,2
incinerados,2
allí penetraron,1
era cuñado,1
fueron trasladas,1
trasladas,1
fueron introducidas,1
introducidas,1
allí fueron introducidas,1
esgrimieron,1
paramilitar logró,1
paramilitar logró apropiarse,1
logró apropiarse,1
sentencia,1
cadena,1
supuestamente fueron,1
supuestamente fueron enterrados,1
informando,6
salazar,1
no quedaran,1
quedaran,1
inmediatamente hicieron,1
escobar,1
intentó darse,1
dispararon causándole,1
llenaron,1
finalmente tiraron,1
devolvieron,1
encontrarlo instalaron,1
instalaron,3
no encontrarlo instalaron,1
reportante obtuvo,1
redujeron amarraron,1
fueron declarados,1
declarados,1
habían sacado,1
wilfrido,1
salvándose,1
angustia,1
legaliza,2
otorgando,2
adecuarse,2
tipificó,1
ser considerado,1
considerado,1
establezca,1
considerarse,1
impide,1
prolonga,2
prolongue,1
mantiene,2
resulta aplicable974,1
aplicable974,1
no encuentra,1
adecuar,1
resaltar,1
finalizar,2
resalta,1
resultar,1
conforme,1
adicional,1
capacitar,1
declararon,1
administradora,1
ocasionando,2
encontra,1
obligo,1
díacuando,1
descubierto,1
logró salir,1
expresa,17
referidafue,1
generaron,5
afectó,2
introducirse,1
retirar,1
tendidos,1
apropiaciónde,1
designa,1
fueron levantados,1
levantados,1
narra,12
causar,1
ayala22-,1
ayala23-,1
castillo27-,1
vergel29-,1
referencia practicarse,1
refleja,1
calamar llegaron,1
eleva,1
votando,1
relaciona,1
pérez53-,1
posteriormente concluir,1
concluir,1
aporta,1
4- acta,1
sipod,1
protegidatortura,1
decidenabandonar,1
sustenta,1
menciona,1
imputa,1
reuniendo,2
luego dejaron,1
desató,2
luego conminaron,1
conminaron,2
allí separaron,1
saquear,2
apoderándose,2
lasvíctimascausándose,1
siguientes982,1
narran,1
delinquir absteniéndose,1
delinquir3-informe,1
así mismo cumple,1
mismo cumple,1
entrevistando,1
enuncia,1
son desplazados,1
roció,1
fueron acusados,1
antes narrado,3
narrado,3
seleccionaron,2
marcharse,10
decidió cerrar,1
cerrar,1
abandonando,13
así desplazarse,1
allí siguió,1
seguidamente cuenta,1
así mismo expresa,7
mismo expresa,7
fueron retirados,1
retirados,1
privaron,1
relacionando,1
delegadose,1
delegadose refirió,1
encargo,1
caminando,1
precisa,3
vieran,1
entonces entraron,1
allí dispararon,1
era no dejarlo,1
no dejarlo,1
dejarlo reaccionar,1
reaccionar,1
era no dejarlo reaccionar,1
no dejarlo reaccionar,1
enseguida fueron,1
fueron sacando,1
enseguida fueron sacando,1
paró,1
resguardarse,1
ahí recibió,1
remató,1
ya iba,1
pegó,1
lesiono,1
afecta,1
suministran,1
hurtándose,2
dañando,1
amplio,1
cuantifica,1
precisar,1
documenta,36
irrumpen,2
perdiendo,16
perpetraron,34
estaba materializando,1
materializando,1
ahernando,1
desalojar,2
había iniciado,1
halla,2
cometiendo,2
debían desplazarse,1
luego trasladarse,1
hermano,3
decidieron desplazarse hacía,1
desplazarse hacía,1
decidieron abandonar,5
residieron,1
vende,1
así mismo afirma,3
mismo afirma,3
siguientes996,1
entrado,1
tarazonafue,1
haya reportado,1
haya reportado desconozco,1
reportado desconozco,1
desconozco,2
manejó,1
no conocí,1
era comandado,2
comandado,2
haces,1
amplia,1
desalojaran,2
trabajadoresque,1
quejuntaran,1
así poder,1
poder llevárselos,1
llevárselos,1
así poder llevárselos,1
expresaron,2
marcharan,2
inicialmente había,1
posteriormente llegaron,1
haya participado,1
compromete,1
responsabilizarse,1
escucho,1
radicaron,3
decidieron marcharse,1
aproximadamente llegó,1
pusiera,1
desenfundó,1
impactó,1
atentaran,1
refugiándose,1
tramite,1
ofrece,1
anuncia,3
era proveída,1
proveída,1
así mismo relata,1
mismo relata,1
antes habían hecho,1
manifestó aceptar,5
guardar,1
perpetró,51
autodefensasasí,1
galvis,1
llegarona,1
desocupar,15
no accedió,5
terminar afirma,1
renunció,1
así conducirlos,1
compraventa,2
escritura,2
infundían,1
rodríguezy,1
atentará,1
comandó,1
integraron,1
relata queel,1
queel,1
hicieron presencia,2
expandir,1
iniciando,1
referíamos,1
escuchar,2
estaba realizando,1
matando,1
era contrarrestar,1
contrarrestar,1
bloquear,1
era ubicar,1
venía explicando,1
explicando,1
hayan pertenecido,1
desconocer,1
réferi,1
comenzó,2
hubieron,1
entendí,1
también expresé,1
expresé,1
venido,1
venido aceptando,1
también ya explicó,1
ya explicó,1
explicó,1
entraran,1
requisaran,1
digo,1
estamos,1
sucedieron desafortunadamente nunca debían,1
desafortunadamente nunca debían,1
nunca debían,1
debían haber,1
sucedieron desafortunadamente nunca debían haber,1
desafortunadamente nunca debían haber,1
nunca debían haber,1
debían haber pasado,1
haber pasado,1
sucedieron desafortunadamente nunca debían haber pasado,1
desafortunadamente nunca debían haber pasado,1
nunca debían haber pasado,1
aceptando pidiéndole,1
pidiéndole,1
presentar,3
haber desplazado,1
entrenar,1
decide desplazarse,1
ocasiona,1
llegué,2
letra,1
interviene,1
intimidaron,1
admite,2
siguieran tumbando,1
rúamanifestó,1
residenciaron,1
nuevamente recibieron,1
ubicó,1
publicaron,1
distribuyeron,1
consideraron,1
no participo,1
debían venderle,1
debieron dejar,1
refugiaron,2
viéndose,2
venderla,1
origina,1
debe,1
imparte,1
podía ir,1
no podía ir,1
indicaron,1
estar viviendo,2
tocó,2
tocó dejar,2
yéndose,1
retornaron,4
referencia ser,1
amenazaron diciéndole,1
iban asesinar,1
era utilizada,1
utilizada,1
sumergen,1
liberan,1
ser raptado,1
son liberados,1
antes ser,1
ser sindicados,1
sindicados,1
antes ser sindicados,1
reportarte,10
ocultó,1
localizaron,2
provocó,1
desplazará,1
ahí luego arribó,1
luego arribó,1
desencadenaron,1
sindicando,2
salieran saquearon,1
posteriormente regresó,1
agarró,1
debían desocupar,3
gringo,1
reportarte informe,1
exigiéndole,1
era asesinarlo,1
ocuparon,1
además fueron,2
fueron agredidos,1
agredidos,1
además fueron agredidos,1
arriendo,3
hayan reportado,1
despojo,1
expulsaron,2
trasladándose,1
habían negociado,1
antes habían asesinado,1
no dudaron,1
dudaron,1
permitieran,1
permitieran sacar,1
tendrían,1
ya había llegado,1
precise,1
huyéndole,1
estaban localizando,1
localizando,1
era darle,1
entonces era,1
rehusó,2
residió,2
decidieron retornar,1
retornar,3
era hurtado,1
recogía,1
lepra,1
fueron contestadas,1
contestadas,1
debían salir,3
supuestamente era,1
arrebataron,1
resistió,1
despojarlo,1
despojándolos,1
posesiono,1
retiraron,5
desplazan,1
desplazan dejando,1
indio,1
mira,1
despojando,1
presentarse,2
inmediatamente salió,1
luego regresó,1
indicándole,1
no tomarían,1
tomarían,1
ostenta,1
extorsionada,1
cuestionaron,2
marcharse dellugar,1
dellugar,1
durán,2
negó asistir,1
decidió escapar,1
no entrevista,1
comandando,1
logrando salir,1
refiere tengo,1
ya no estaba,1
chocolate,1
aceptamos,1
había asumido,1
asumido,1
reconozco,1
anunciarse,1
ser señaladas,1
sintió,2
no tuve,2
tuve,2
extenderse,1
antes amenazarlos,1
amenazarlos,1
exigirle,1
fueron heredados,1
heredados,1
así mismo aseguró,1
mismo aseguró,1
pedirle,1
fuera reportado,1
canga,1
presentándose,3
hurtarle,2
luego retiraron,1
realizada,1
adueñaron,1
destruirla,1
no logró,1
logró usufructuar,1
usufructuar,1
no logró usufructuar,1
adquirieron,1
cedieron,1
deedgar,1
ordenó desocupar,1
tapiassalieron,1
cesó,2
originando,1
optó,3
igualmente tuvieron,1
fueron denunciados,1
denunciados,1
decidió abandonar,3
apropiándose,3
exigirles,1
entrego,1
convocado,2
no aceptó,1
selló,1
canceló,1
visitado,2
debían marcharse,1
no seguir,1
seguir obedeciendo,1
no seguir obedeciendo,1
118deportación,1
constreñida,1
presionar,2
paramilitar fueron,1
paramilitar fueron liberados,1
desplegó,1
fueron englobados,2
englobados,2
constituyendo,1
fueron registrados,1
registrados,1
estableciéndose,1
resaltando,1
aborda,1
matricula,3
fueron desalojados,1
desalojados,1
suscribir,1
haber firmado,1
firmado,1
antes haber firmado,1
seguir realizando,2
incendió,2
posteriormente retornando,1
retornando,1
podía cumplir,1
no podía cumplir,1
debreiner,1
seguir desembolsando,1
desembolsando,1
127deportación,1
desembolsar,2
128deportación,1
decidieron no cancelar,1
ausentarse,1
131deportación,1
allí realizaron,1
investigaciónpreliminar,1
decide abandonar,1
135deportación,1
habían sido hurtados,1
sido hurtados,1
deuna,1
paisa,1
catalogaron,1
irrumpiendo,2
colocar,1
haber colocado,1
colocado,1
era ganado,1
viviendo allí recibió,1
irrumpir,1
era efectuar,1
efectuar,1
enfrentar,1
desplazando,1
seguidamente señala,1
incendiado,1
propinándole,1
investiga,1
autodefensas,4
debieron salir,2
llevándoselo,1
confirmar,1
donderetuvieron,1
reunidas,1
son retenidas,1
no corre,1
corre,1
corroborar,1
acabando,1
confesiónhernando,1
seguidamente continuaron,1
logrando huir,1
así mismo informa,1
mismo informa,1
así mismo lesionaron,1
mismo lesionaron,1
lesionaron,1
ratifica,1
habían exigido,1
exigido,1
durango,1
otorgaron,2
einforme,2
cobra,6
habían enfrentado,1
enfrentado,1
instalarse,1
cobra desalojaron,1
desalojaron,1
generando,4
169deportación,1
causil,1
avisaron,1
posteriormente arribaron,1
decide trasladarse,1
quemada,2
alacrán,2
perpetro,1
alacrán ordenaron,1
no trasladarse,1
manifiesta haber,1
manifiesta haber sido,1
manifiesta haber sido desplazada,1
haber sido desplazada,2
sido desplazada,2
fueron llamadas,1
llamadas,1
leyó,1
trascurridos,1
completamente destruida,1
destruida,1
incurrió,1
decidieron salir,11
ordenaron realizar,1
decidió marcharse,1
preservar,3
206deportación,1
encontrarían,1
también dieron,1
manifestó haber sido desplazada,1
frecuentaron,1
manifestaron reclutar,1
manifestarle,1
perder,3
incendiarlo,1
no aguantó,1
aguantó,1
ordenaron abandonar,1
no suministrar,1
habían tomado,1
tomado,1
evitando,1
evitando así ser,1
así ser,1
ser relacionado,1
relacionado,1
evitando así ser relacionado,1
así ser relacionado,1
encontraban organizando,1
disponían,1
incendiando,1
decidió presentarse,1
producir,1
escucharse,1
acabar,1
habían escuchado,1
escuchado,1
realmente ingresaron,1
destrozaron,1
sintieron,3
incinerando,1
tomarse,2
transitaron,3
pronuncia,1
responde,1
perdieron,3
incursionar,2
duraron,1
regresado,1
halla inscrita,1
desplazarse perdiendo,1
estaban ingresando,1
luego regresaron,2
haber incinerado,1
habían organizado,2
organizado,2
conocieron,1
así mismo asesinaron,1
mismo asesinaron,1
creando,1
habían incursionado,1
ya habían incursionado,1
nuevamente llegarían,1
llegarían,2
así cometer,1
certificados,6
estaban incursionando,1
arremetió,1
dirigióa,1
había perdido,1
protestaron,1
zaqueada,1
ser utilizado,1
utilizado,1
decide venderlo,1
retorna,2
habían amenazado,1
además expresa,3
requisado,1
confesar,1
compra-venta,1
huye,1
abandono,2
vinieran,1
solo regresa,1
contamos,1
afirma ser,1
sumariamente,1
decide salir,2
habían ultimado,1
laborar,1
prolongó,2
corregimiento,1
generándose,1
consistió,1
había desaparecido,1
además dejó,1
transitoriamente originándose,1
originándose,1
nuevamente hizo,1
debían abandonarla,1
vistiendo uniforme,1
uniforme,1
seguidamente relata,1
suscribieron,1
también estaban,1
estaban saliendo,1
sugirió,1
desplazadas,1
fueron practicadas,1
practicadas,1
no permitieron,1
respeto,1
iban encontrando,1
buscaron,1
paramilitar hizo,1
era arrojado,1
no aparecer,1
aparecer,1
negaron,1
ser transportados,1
existencia,1
enfrentó,2
estaban recibiendo,2
ranchería,1
procedieron causarle,1
dispararle causándole,1
sentir,1
dispararon logrando,1
dispararon logrando así salir,1
logrando así salir,1
así salir,1
paramilitar había,1
paramilitar había asesinado,1
estando ahí preguntaron,1
ahí preguntaron,1
quiera,1
igualmente cuenta,1
ser seguida,1
estaban pasando,1
manifestó haber participado,1
más adelante hacerlo,1
adelante hacerlo,1
hacerlo detener,1
más adelante hacerlo detener,1
adelante hacerlo detener,1
hacerlo detener luego obligaron,1
detener luego obligaron,1
luego obligaron,1
además cuenta,1
suministrarles,1
provocando,1
haber ayudado,1
ayudado,1
capturar,1
pronunció,2
pronunció aceptando,1
expresó,1
no querer,1
querer,1
querer acceder,1
no querer acceder,1
requisarla,1
debían llevar,1
procedieron asesinarlos,1
procedieron asesinarlos sepultando,1
asesinarlos sepultando,1
sepultando,1
estaban haciendo no pudieron,1
haciendo no pudieron,1
pudieron sacar,1
estaban haciendo no pudieron sacar,1
haciendo no pudieron sacar,1
no pudieron sacar,1
requerir,1
satisfacer,1
obligándola,1
pagarles,1
sometiendo,1
despojarse,1
fueron emboscados,1
emboscados,1
hacer parecer,1
había sido cometido,1
sido cometido,1
remolcaron,1
lanzarle,1
allí había,1
luego trasladaron,1
habían obtenido,1
había pactado,1
pactado,1
era asumir,1
asumir,1
después darle,1
finalmente determinaron,1
determinaron,1
salir huyendo,1
vía,1
habían sido acusados,1
sido acusados,1
fueron despojadas,1
despojadas,1
había sido señalada,1
sido señalada,1
brindando,1
adelantaran,1
contrataron,1
estaban cobrando,1
cobrando,1
refirió confesó,1
no 057-2004,1
057-2004,1
observo,1
depreciar,1
había hurtado,1
invadida,1
estaba llevando,2
llevando,2
juicio,1
ocupada,1
interpuso,1
logra huir,1
habían convocado,1
luego aclaró,1
solo regresó,1
decidió acompañarlo,1
acompañarlo,1
eran esperados,1
esperados,1
era tildado,1
visitó,1
desplazó dejando,2
adquirió,1
prohibieron,1
decidió renunciar,1
ya habían ingresado,1
devueltas,1
manteniéndose,1
fueron inscritos,1
inscritos,1
audiencia,1
audiencia preliminar,1
abrió,1
ingiriendo,1
era reconocido,1
iba hacer asesinado,1
hacer asesinado,1
apoyado,1
había sido reclutado,1
sido reclutado,1
fueron reconocidos,1
reconocidos,1
supuestamente había,1
supuestamente había sido,1
había sido hurtado,1
sido hurtado,1
supuestamente había sido hurtado,1
recorriendo,1
además cedió,1
cedió,1
ahí retiraron,1
asesinaron igualmente sucedió,1
igualmente sucedió,1
ordenó instalar,1
venía bajando,1
bajando,1
acabaron,1
era incursionar,1
desarticular,1
así mismo ejercer,1
mismo ejercer,1
atacada,1
saló,1
despidieron,1
además fueron amenazados,1
compraron,1
establecieron,1
posteriormente asesinarlo,1
asesinarlo así mismo dispararon,1
así mismo dispararon,1
mismo dispararon,1
después apareció,1
u03nc-98-015-98,1
confundido,1
licho,1
poder subsistir,1
subsistir,1
duraría,1
reencontró,1
malvendió,1
sindicaban,1
debía desocupar,1
situación,1
calderon,1
dispuso incluir,1
incluir,1
ordenaron detener,1
fueron amenazadas,1
amenazadas,1
allí iban,1
iban recogiendo,1
allí iban recogiendo,1
hicieron esperar,1
también fueron retenidos,1
fueron retenidos dejaron,1
retenidos dejaron,1
también fueron retenidos dejaron,1
hicieron devolver,1
devolver,1
ser liberado,1
luego ser liberado,1
habían generado,1
generado,1
observaron,1
observar,1
suscitaron,1
fueron seleccionando,1
seleccionando,1
prestarle,1
había negado,1
decidió secuestrar,1
secuestrar,1
además desaparecieron,1
conclusión,1
desplazarse dejó,1
instauró,1
legalizarían,1
adecua,1
han satisfecho,1
satisfecho,1
declaren,1
han sido expuestos,1
sido expuestos,1
expuestos,1
legalicen,1
condene,1
